-1.297,4.064,4.552
-1.336,4.058,4.552
-1.345,3.87,4.368
-1.385,3.879,4.384
-1.43,3.912,4.424
-1.5,2.831,3.384
-1.528,2.823,3.384
-1.55,2.792,3.36
-1.567,2.745,3.32
-1.564,2.637,3.216
-1.575,2.579,3.164
-1.584,2.518,3.108
-1.573,2.399,2.992
-1.584,2.349,2.948
-1.576,2.25,2.852
-1.586,2.204,2.812
-1.593,2.155,2.768
-1.586,2.068,2.684
-1.591,2.018,2.64
-1.586,1.943,2.568
-1.596,1.909,2.54
-1.601,1.863,2.5
-1.595,1.796,2.436
-1.6,1.754,2.4
-1.596,1.695,2.344
-1.603,1.661,2.316
-1.607,1.623,2.284
-1.6,1.564,2.228
-1.605,1.531,2.2
-1.603,1.483,2.156
-1.606,1.449,2.128
-1.612,1.42,2.104
-1.605,1.369,2.056
-1.609,1.339,2.032
-1.607,1.299,1.996
-1.61,1.27,1.972
-1.614,1.244,1.952
-1.609,1.201,1.912
-1.613,1.177,1.894
-1.609,1.139,1.86
-1.611,1.112,1.838
-1.611,1.082,1.812
-1.593,0.848,1.61
-1.604,0.839,1.61
-1.611,0.803,1.586
-1.622,0.794,1.586
-1.615,0.764,1.558
-1.619,0.748,1.548
-1.623,0.731,1.538
-1.618,0.706,1.516
-1.622,0.69,1.506
-1.617,0.665,1.484
-1.62,0.649,1.474
-1.622,0.633,1.464
-1.619,0.611,1.446
-1.623,0.596,1.438
-1.619,0.575,1.42
-1.622,0.56,1.412
-1.627,0.547,1.406
-1.621,0.525,1.386
-1.623,0.51,1.378
-1.621,0.492,1.364
-1.624,0.478,1.356
-1.62,0.459,1.34
-1.623,0.446,1.334
-1.625,0.432,1.326
-1.621,0.414,1.312
-1.624,0.401,1.306
-1.627,0.389,1.3
-1.623,0.371,1.286
-1.626,0.359,1.28
-1.626,0.345,1.272
-1.627,0.331,1.264
-1.628,0.319,1.258
-1.627,0.304,1.248
-1.627,0.291,1.24
-1.625,0.276,1.23
-1.626,0.264,1.224
-1.629,0.253,1.22
-1.627,0.239,1.21
-1.629,0.228,1.206
-1.627,0.213,1.196
-1.631,0.203,1.194
-1.631,0.191,1.188
-1.63,0.178,1.18
-1.632,0.168,1.176
-1.634,0.157,1.172
-1.632,0.144,1.164
-1.633,0.133,1.16
-1.631,0.12,1.152
-1.633,0.11,1.148
-1.636,0.1,1.146
-1.633,0.087,1.138
-1.634,0.077,1.134
-1.633,0.065,1.128
-1.634,0.055,1.124
-1.636,0.045,1.122
-1.635,0.034,1.116
-1.636,0.023,1.112
-1.636,0.013,1.108
-1.636,0.002,1.104
-1.638,-0.007,1.102
-1.636,-0.019,1.096
-1.638,-0.028,1.094
-1.638,-0.039,1.09
-1.638,-0.049,1.086
-1.639,-0.058,1.084
-1.639,-0.069,1.08
-1.64,-0.078,1.078
-1.639,-0.088,1.074
-1.64,-0.098,1.072
-1.641,-0.107,1.07
-1.64,-0.118,1.066
-1.645,-0.126,1.068
-1.652,-0.134,1.072
-1.662,-0.14,1.08
-1.666,-0.149,1.082
-1.673,-0.157,1.086
-1.613,-0.29,1.0
-1.614,-0.299,1.0
-1.611,-0.308,0.996
-1.612,-0.317,0.996
-1.617,-0.325,1.0
-1.63,-0.332,1.012
-1.635,-0.341,1.016
-1.64,-0.349,1.02
-1.645,-0.358,1.024
-1.645,-0.367,1.024
-1.646,-0.376,1.024
-1.646,-0.384,1.024
-1.647,-0.393,1.024
-1.647,-0.402,1.024
-1.645,-0.411,1.022
-1.648,-0.42,1.024
-1.648,-0.429,1.024
-1.648,-0.438,1.024
-1.65,-0.447,1.026
-1.648,-0.456,1.024
-1.649,-0.465,1.026
-1.649,-0.474,1.026
-1.649,-0.483,1.026
-1.65,-0.492,1.028
-1.65,-0.501,1.028
-1.651,-0.51,1.03
-1.649,-0.519,1.028
-1.65,-0.528,1.03
-1.651,-0.537,1.032
-1.654,-0.546,1.036
-1.665,-0.557,1.048
-1.67,-0.567,1.054
-1.677,-0.577,1.062
-1.679,-0.586,1.066
-1.68,-0.596,1.068
-1.623,-0.596,1.012
-1.622,-0.605,1.012
-1.624,-0.614,1.016
-1.623,-0.623,1.016
-1.627,-0.633,1.022
-1.637,-0.644,1.034
-1.637,-0.653,1.036
-1.633,-0.662,1.034
-1.675,-0.842,1.126
